bm,bn,en,zh-CN,hi,es,fr
রাতিয়ে বিয়ানে তোর কথা ইমে খালকরুরি কিন্তু বারেদে নাদেখা দেওরি অহানে তি হান্নাপাওরি,দিনে রাতে শুধু তোমার কথায় ভাবি কিন্তু বাইরে দেখায় না তাই তুমি বুঝোনা,Day and night I only think about your words but it doesn't show outside so you don't understand,日日夜夜我只想着你的话却没有表现出来所以你不明白,मैं दिन रात सिर्फ तेरी बातों के बारे में सोचता हूं लेकिन वो बाहर दिखाई नहीं देती इसलिए तुम समझ नहीं पाते,Día y noche solo pienso en tus palabras pero no se nota afuera para que no entiendas,Jour et nuit je ne pense qu'à tes mots mais ça ne se voit pas dehors donc tu ne comprends pas
কুইহান কথা মাতানি আহিয়াউ মাতে নুয়ারলু,কত কথা বলতে চেয়েও বলতে পারিনি,I could not say how much I wanted to say,我说不出我有多想说,"मैं कितना कुछ कहना चाहता था, नहीं कह सका",No sabría decir cuanto quería decir,Je ne pouvais pas dire ce que je voulais dire
গুরুর অসারে মানুও ঘাস খানা থকিসে,গরুর মতো মানুষেরও ঘাস খাওয়া উচিত,Humans should eat grass like cows,人类应该像牛一样吃草,मनुष्य को गाय की तरह घास खानी चाहिए,Los humanos deberían comer hierba como las vacas.,Les humains devraient manger de l'herbe comme les vaches
সরাতে গামসা বিলানির চল এহানে বেলানি থকিসে,শ্রাদ্ধ অনুষ্ঠানে গামছা বিতরণের সংস্কৃতি বাদ দেয়া উচিত,The culture of distributing towels at Shraddha ceremonies should be avoided,应避免在 Shraddha 仪式上分发毛巾的文化,श्राद्ध कर्म में तौलिया बांटने की संस्कृति से बचना चाहिए,Se debe evitar la cultura de distribuir toallas en las ceremonias de Shraddha.,La culture de la distribution de serviettes lors des cérémonies Shraddha doit être évitée
গামসা বিলানি চল হান অনাই লেইরাপা মানু সরাত করানি জবর হিনপিতারা,গামছা বিতরণ সংস্কৃতির কারণে গরীব লোকেরা শ্রাদ্ধ অনুষ্ঠান করতে হিমশিম খায়,Poor people find it difficult to perform Shraddha due to the towel distribution culture,由于分发毛巾的文化，穷人很难进行 Shraddha,तौलिया वितरण संस्कृति के कारण गरीब लोगों को श्राद्ध करने में कठिनाई होती है,A los pobres les resulta difícil realizar Shraddha debido a la cultura de distribución de toallas.,Les pauvres ont du mal à accomplir le Shraddha en raison de la culture de la distribution de serviettes.
তিকহান জবর ইসে সওগর,রাগ খুব বেশি বাচ্চাটার,The child is very angry,孩子很生气,बच्चा बहुत गुस्से में है,el niño esta muy enojado,L'enfant est très en colère
আমার ডাঙরিয়া সংগঠন অতাই আমার চল অতা সংস্কারর কাম করানি থক,আমাদের প্রতিষ্ঠিত সংগঠনগুলোর আমাদের বিভিন্ন প্রথা সংস্কারের কাজ করা উচিত,Our established organizations should work to reform our various practices,我们现有的组织应该努力改革我们的各种做法,हमारे स्थापित संगठनों को हमारी विभिन्न प्रथाओं में सुधार के लिए काम करना चाहिए,Nuestras organizaciones establecidas deberían trabajar para reformar nuestras diversas prácticas.,Nos organisations établies devraient travailler à réformer nos différentes pratiques
মহাদেবর বন্দা আতে আতে থার,মহাদেবের ষাঁড় হেঁটে হেঁটে থাকে,Mahadev's bull keeps walking,马哈德夫的公牛继续行走,महादेव का बैल चलता रहता है,El toro de Mahadev sigue caminando,Le taureau de Mahadev continue de marcher
হাদা-মাহি অতারিতা তপটা করে বেললে,যাতা বলে গরম করে ফেলেছো,You have heated it up,你已经把它加热了,तुमने तो इसे गर्म कर दिया है,Lo has calentado,Tu l'as réchauffé
আমার ইমার ঠারে লেংকরা সাহিত্যর পাকরেকুরা নেই,আমাদের মাতৃভাষায় রচিত সাহিত্যের পাঠক নেই,Literature written in our mother tongue has no readership,用我们的母语写的文学没有读者,हमारी मातृभाषा में लिखे गए साहित्य का कोई पाठक वर्ग नहीं है,La literatura escrita en nuestra lengua materna no tiene lectores,La littérature écrite dans notre langue maternelle n'a pas de lectorat
কালি রাতি ৯ টাত মান্ডপে তিলুইতাঙাই,আগামীকাল রাত ৯ টায় মন্ডপে মিলিত হবো,I will meet at Mandap tomorrow at 9 o'clock,我明天 9 点在 Mandap 见面,मैं कल सुबह 9 बजे मंडप में मिलूंगा,Me reuniré en Mandap mañana a las 9 en punto.,Je me retrouverai à Mandap demain à 9 heures
সাগলক্ষয় বপ নাখেই জারা নুয়ারবে,মাশকালাই ডাল বেশি খেয়োনা হজম হবেনা,"Do not eat too much mashkalai dal, it will not be digested",不要吃太多马什卡莱木豆，它不会被消化,"मशकलाई दाल ज्यादा न खाएं, पचेगी नहीं","No comas demasiado mashkalai dal, no será digerido.","Ne mangez pas trop de mashkalai dal, il ne sera pas digéré"
